test_sentence,correct_sentence,predicted_sentence,probability,accuracy
U Savetu bezbednosti Ujedinjenih nacije počela je sednica na kojoj će biti razmtren redovni šestomesečni izveštaj o radu Haškog suda i saradnji Srbije i drugih zemalja regiona sa tim sudom.,U Savetu bezbednosti Ujedinjenih nacija počela je sednica na kojoj će biti razmotren redovni šestomesečni izveštaj o radu Haškog suda i saradnji Srbije i drugih zemalja regiona sa tim sudom.,U Savetu bezbednosti Ujedinjenih nacija počela je sednica na kojoj će biti razmotren redovni šestomesečni izveštaj o rada Haškog suda i saradnji Srbije i drugih zemalja regiona sa tim sudom,0.31885717809200287,98.95
Predsednik Nacionalnog saveta za saradnju sa Haškim sudom Rasim Ljajić izjavio je da niko ne raspolaže informacijama gde se nalazi haški optuženik Ratko Mladić.,Predsednik Nacionalnog saveta za saradnju sa Haškim sudom Rasim Ljajić izjavio je da niko ne raspolaže informacijama gde se nalazi haški optuženik Ratko Mladić.,Predsednik Nacionalnog saveta za saradnja sa Haškim sudom Rasim Ljajić izjavio je da niko ne raspolaže informacijama gde se nalazi haški optuženik Ratko Mladić,0.37004441022872925,98.75
"Izbore treba raspisati tek kad dobijemo status kandidata za članstvo u EU, rekao je predsednik Demokratske stranke Boris Tadić na subotnjoj sednici Glavnog odbora ove stranke.","Izbore treba raspisati tek kad dobijemo status kandidata za članstvo u EU, rekao je predsednik Demokratske stranke Boris Tadić na subotnjoj sednici Glavnog odbora ove stranke.",Izbore treba raspisati tek kad dobijemo statusa kandidata za članstvo u EU rekao je predsednik Demokratske stranke Boris Tadić na subotnjoj sednici Glavnog odbora ove stranke,0.32759642601013184,98.29
Ministarstvo finansija Srbije će postupiti po preporukama Evropske komisije koje se odnose na primjenu različitih akciza na gorivo u Srbiji.,Ministarstvo finansija Srbije će postupiti po preporukama Evropske komisije koje se odnose na primjenu različitih akciza na gorivo u Srbiji.,Ministarstvo finansija Srbije će postupiti po preporukama Evropske komisije koje se odnose na primena različitih akciza na gorivo u Srbiji,0.3276866674423218,97.86
"Deklaracija o Srebrenici, koju je usvojio srpski parlament, mora ući u obrazovni sistem Srbije, smatra predsednica Helsinškog odbora za ljudska prava u Beogradu Sonja Biserko.","Deklaracija o Srebrenici, koju je usvojio srpski parlament, mora ući u obrazovni sistem Srbije, smatra predsednica Helsinškog odbora za ljudska prava u Beogradu Sonja Biserko.",Deklaracija o Srebrenici koju je usvojio srpski parlamenta mora ući u obrazovni sistem Srbije smatra predsednica Helsinškog odbora za ljudska prava u Beogradu Sonja Biserko,0.3019948899745941,97.71
"Zamjenik srpskog tužioca za ratne zločine Bruno Vekarić rekao je da Ratko Mladić u pritvru Specijalnog suda u Beogradu nema posebno tretman, ali je prenio svoj utisak da uhapšena general sebe ne doživljava kao osumljičenog za zločin u Srebrenici.","Zamjenik srpskog tužioca za ratne zločine Bruno Vekarić rekao je da Ratko Mladić u pritvoru Specijalnog suda u Beogradu nema poseban tretman, ali je prenio svoj utisak da uhapšeni general sebe ne doživljava kao osumnjičenog za zločin u Srebrenici.",Zamjenik srpskog tužioca za ratne zločine Bruno Vekarić rekao je da Ratka Mladić u pritvoru Specijalnog suda u Beogradu nema posebno tretman ali je prenio svoj utisak da uhapšena general sebe ne doživljava kao osumnjičenog za zločin u Srebrenici,0.3502977192401886,97.57
Savetnik predsednika Vlada Kosova za bezbednosna pitanja Dukađin Gorani najavio je da će građanima Srbije od početka sledećih godine pri prelazu administrativnog linije sa Kosovom biti neophodan pasoš.,Savetnik predsednika Vlade Kosova za bezbednosna pitanja Dukađin Gorani najavio je da će građanima Srbije od početka sledeće godine pri prelazu administrativne linije sa Kosovom biti neophodan pasoš.,Savetnik predsednika Vlada Kosova za bezbednosne pitanja Dukađin Gorani najavio je da će građanima Srbije od početka sledeće godine pri prelazu administrativnog linije sa Kosovom biti neophodan pasoš,0.3488655388355255,97.49
"Članovi Odboru za ustavna pitanja prihvatili su u utorak da u skupštinsku proceduru uđe Predlog za promenu Ustava koji predviđa smanjenje broja poslanika Skupštine Srbije za polovinu, jer je ta inicijativa predložena u skladu sa Ustavom.","Članovi Odbora za ustavna pitanja prihvatili su u utorak da u skupštinsku proceduru uđe Predlog za promenu Ustava koji predviđa smanjenje broja poslanika Skupštine Srbije za polovinu, jer je ta inicijativa predložena u skladu sa Ustavom.",Članovi Odbora za ustavni pitanja prihvatili su u utorak da u skupštinske proceduru uđe Predlog za promena Ustava koji predviđa smanjenje broja poslanika Skupštine Srbije za polovinu jer je ta Inicijativa predložena u skladu sa Ustavom,0.346825498342514,97.47
"Evropski standardi potpuno prihvatljivi za Srbiju, izjavijo je predsednik Srpske napredna stranke Tomislav Nikolić.","Evropski standardi potpuno prihvatljivi za Srbiju, izjavio je predsednik Srpske napredne stranke Tomislav Nikolić.",Evropski standardi potpuno prihvatljivi za Srbiju izjavio je predsednik Srpske napredna stranke Tomislav Nikolić,0.0,97.37
Ambasador Holandija u Srbiji Loran Stokvis izjavio je da je pun saradnja Srbije sa Hagom uslov za prosleđavanje kandidature Srbije Evropskoj komisiji.,Ambasador Holandije u Srbiji Loran Stokvis izjavio je da je puna saradnja Srbije sa Hagom uslov za prosleđivanje kandidature Srbije Evropskoj komisiji.,Ambasador Holandije u Srbiji Loran tokvil izjavio je da je puna saradnja Srbije sa Hagom uslova za prosleđivanje kandidature Srbije Evropskoj komisiji,0.3281984130541484,97.35
